cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:33.085040] 10.111.70.167 ====turnstile====3, cis650prs/edison04
[2017-10-20 00:56:31.498691] 10.111.86.248 ====riding and bonding====DD, cis650prs/edison04
[2017-10-20 00:56:31.958773] 10.111.86.248 ====waiting====FF, cis650prs/edison04
[2017-10-20 00:56:32.517939] 10.111.86.248 ====riding and bonding====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:35.508105] 10.111.70.167 ====monitor====keepalive, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:36.085785] 10.111.70.167 ====turnstile====3, cis650prs/edison07
[2017-10-20 00:56:34.299453] 10.111.77.109 ====pickup====FF, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:39.090201] 10.111.70.167 ====passenger, cis650prs/edison04
[2017-10-20 00:56:37.006557] 10.111.86.248 ====riding and bonding====DD, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:39.090201] 10.111.70.167 ====turnstile====1, cis650prs/edison04
[2017-10-20 00:56:37.466692] 10.111.86.248 ====riding and bonding====FF, cis650prs/edison04
[2017-10-20 00:56:38.025821] 10.111.86.248 ====riding and bonding====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:40.511300] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:56:39.306247] 10.111.77.109 ====1, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:42.093021] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:42.093021] 10.111.70.167 ====turnstile====2, cis650prs/edison04
[2017-10-20 00:56:42.514374] 10.111.86.248 ====riding and bonding====DD, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:45.098813] 10.111.70.167 ====passenger, cis650prs/edison04
[2017-10-20 00:56:42.974451] 10.111.86.248 ====riding and bonding====FF, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:45.098813] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:45.512132] 10.111.70.167 ====monitor====keepalive, cis650prs/edison04
[2017-10-20 00:56:38.025821] 10.111.86.248 ====arrive====BB, cis650prs/edison04
[2017-10-20 00:56:43.534770] 10.111.86.248 ====form social group====BB, cis650prs/edison07
[2017-10-20 00:56:44.312604] 10.111.77.109 ====pickup====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:48.104657] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:48.104657] 10.111.70.167 ====turnstile====1, cis650prs/edison04
[2017-10-20 00:56:48.022144] 10.111.86.248 ====riding and bonding====DD, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:50.512827] 10.111.70.167 ====monitor====keepalive, cis650prs/edison04
[2017-10-20 00:56:48.482259] 10.111.86.248 ====riding and bonding====FF, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:51.110422] 10.111.70.167 ====passenger, cis650prs/edison04
[2017-10-20 00:56:49.042602] 10.111.86.248 ====riding and bonding====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:51.110422] 10.111.70.167 ====turnstile====2, cis650prs/edison07
[2017-10-20 00:56:49.319411] 10.111.77.109 ====2, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:54.116214] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:54.116214] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:55.518454] 10.111.70.167 ====monitor====keepalive, cis650prs/edison04
[2017-10-20 00:56:48.022144] 10.111.86.248 ====arrive====DD, cis650prs/edison04
[2017-10-20 00:56:53.532342] 10.111.86.248 ====form social group====DD, cis650prs/edison04
[2017-10-20 00:56:53.990102] 10.111.86.248 ====riding and bonding====FF, cis650prs/edison07
[2017-10-20 00:56:54.322358] 10.111.77.109 ====pickup====DD, cis650prs/edison04
[2017-10-20 00:56:54.550381] 10.111.86.248 ====riding and bonding====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:57.122042] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:57.122042] 10.111.70.167 ====turnstile====1, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:00.125211] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:00.125211] 10.111.70.167 ====turnstile====2, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:00.524128] 10.111.70.167 ====monitor====keepalive, cis650prs/edison04
[2017-10-20 00:56:59.038463] 10.111.86.248 ====riding and bonding====DD, cis650prs/edison07
[2017-10-20 00:56:59.329118] 10.111.77.109 ====2, cis650prs/edison04
[2017-10-20 00:56:53.990102] 10.111.86.248 ====arrive====FF, cis650prs/edison04
[2017-10-20 00:56:59.499159] 10.111.86.248 ====form social group====FF, cis650prs/edison04
[2017-10-20 00:57:00.058094] 10.111.86.248 ====riding and bonding====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:03.131016] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:03.131016] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:05.529811] 10.111.70.167 ====monitor====keepalive, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:06.136765] 10.111.70.167 ====turnstile====3, cis650prs/edison07
[2017-10-20 00:57:04.335830] 10.111.77.109 ====pickup====FF, cis650prs/edison04
[2017-10-20 00:57:04.505962] 10.111.86.248 ====form social group====FF, cis650prs/edison04
[2017-10-20 00:57:04.546307] 10.111.86.248 ====riding and bonding====DD, cis650prs/edison04
[2017-10-20 00:57:05.562503] 10.111.86.248 ====riding and bonding====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:09.142384] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:09.142384] 10.111.70.167 ====turnstile====1, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:10.535614] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:57:09.342647] 10.111.77.109 ====1, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:12.148132] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:12.148132] 10.111.70.167 ====turnstile====2, cis650prs/edison04
[2017-10-20 00:57:10.012458] 10.111.86.248 ====riding and bonding====FF, cis650prs/edison04
[2017-10-20 00:57:10.054115] 10.111.86.248 ====riding and bonding====DD, cis650prs/edison04
[2017-10-20 00:57:05.562503] 10.111.86.248 ====arrive====BB, cis650prs/edison04
[2017-10-20 00:57:11.071727] 10.111.86.248 ====form social group====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:15.153987] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:15.153987] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:15.536847] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:57:14.349376] 10.111.77.109 ====pickup====BB, cis650prs/edison04
[2017-10-20 00:57:15.520394] 10.111.86.248 ====riding and bonding====FF, cis650prs/edison04
[2017-10-20 00:57:15.561981] 10.111.86.248 ====riding and bonding====DD, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:18.159650] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:18.159650] 10.111.70.167 ====turnstile====1, cis650prs/edison04
[2017-10-20 00:57:16.579268] 10.111.86.248 ====riding and bonding====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:20.542463] 10.111.70.167 ====monitor====keepalive, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:21.165515] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:21.165515] 10.111.70.167 ====turnstile====2, cis650prs/edison07
[2017-10-20 00:57:19.352335] 10.111.77.109 ====2, cis650prs/edison04
[2017-10-20 00:57:21.028350] 10.111.86.248 ====riding and bonding====FF, cis650prs/edison04
[2017-10-20 00:57:15.561981] 10.111.86.248 ====arrive====DD, cis650prs/edison04
[2017-10-20 00:57:21.070789] 10.111.86.248 ====form social group====DD, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:24.171791] 10.111.70.167 ====passenger, cis650prs/edison04
[2017-10-20 00:57:22.087035] 10.111.86.248 ====riding and bonding====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:24.171791] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:25.548133] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:57:24.359061] 10.111.77.109 ====pickup====DD, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:27.172912] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:27.172912] 10.111.70.167 ====turnstile====1, cis650prs/edison04
[2017-10-20 00:57:21.028350] 10.111.86.248 ====arrive====FF, cis650prs/edison04
[2017-10-20 00:57:26.578481] 10.111.86.248 ====riding and bonding====DD, cis650prs/edison04
[2017-10-20 00:57:26.537260] 10.111.86.248 ====form social group====FF, cis650prs/edison04
[2017-10-20 00:57:27.594831] 10.111.86.248 ====riding and bonding====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:30.178753] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:30.178753] 10.111.70.167 ====turnstile====2, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:30.550044] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:57:29.362353] 10.111.77.109 ====2, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:33.184514] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:33.184514] 10.111.70.167 ====turnstile====3, cis650prs/edison04
